City,AQI,GDP
Qujing City,41,1630.3
Quanzhou City,18,6137.74
Shigatse City,25,168
Rizhao City,129,1670.8
Rongcheng City,35,1022.3
Rushan City,47,477.18
Sanmenxia City,180,1260.55
Sanming City,13,1713.05
Sanya City,21,435.02
Xiamen City,54,3466.01
Lhoka Prefecture,35,115
Shantou City,50,1850.01
Shanwei City,59,780
Shangqiu City,65,1803.93
Shanghai Municipality,46,24964.99
Shangrao City,30,1650.81
Shaoguan City,12,1149.98
Shaoyang city,77,1387
Shaoxing City,104,3366.7
Shenzhen City,37,17502.99
Shennongjia Forestry District,50,22.5
Shenyang City,90,7280
Shiyan City,69,1300
Shijiazhuang City,182,5440.6
Shizuishan City,85,482.4
Shouguang City,127,806.9
Shuozhou City,96,910
Suzhou City(Jiangsu),73,14504.07
Suizhou City,106,785
Suining City,95,915.81
Taipei City,63,5412.65
Taitung County,15,254
Tainan City,55,2378.27
Taichung City,30,3774.95
Taizhou City,55,3558.13
Taicang City,47,625.64
Taiyuan City,138,2735.34
Tai'an City,151,3240
Taizhou City,70,3655.53
Tangshan City,166,6225.3
Taoyuan City,21,2990.09
Tianjin Municipality,121,16538.19
Tianmen City,62,440
Tieling City,79,745
Tongliao City,82,1877.27
Tongchuan city,98,324.54
Tongling City,58,721.3
Wafangdian City,122,935.9
Weihai City,49,3001.57
Weifang City,146,5100
Weinan City,117,1469.08
Wenzhou City,50,4619.84
Wendeng City,41,829.7
Wenshan Prefecture,60,190.1
Wuhai City,113,258.92
Urumqi City,170,2680
Wuxi City,69,8518.26
Wuhu City,56,2457.3
Wujiang City,55,1540
Wuhan City,128,10905.06
Xi’an city,113,5810.03
Xining City,72,1131.62
Sipsongpanna Prefecture,69,335.9
Xilin Gol League,18,1002.6
Xiantao city,78,590
Xianning City,85,1035
Xianyang City,127,2155.91
HongKong SAR,37,17900
Shangri-la City,24,100.9
Xiangtan City,67,1703.1
Xiangyang City,118,3400
Xiaogan City,101,1460
Xinzhou City,65,680
New Taipei City,16,5470.33
Xinyu City,47,946.8
Hsinchu City,21,686
Hsinchu County,22,714
Xinyang City,106,1877.75
Xingtai City,175,1668.1
Hinggan League,36,502.31
Suqian City,82,2126.19
Suzhou City(Anhui),87,1235.8
Xuzhou City,116,5319.88
Xuchang City,82,2170.6
Xuancheng City,54,971.5
Yaan City,81,517.72
Yantai City,89,6446.08
Yanan City,108,1198.63
Yancheng City,88,4212.5
Yangzhou City,97,4016.84
Yangjiang City,24,1256
Yangquan City,102,598.85
Yibin City,69,1529.9
Yichang City,104,3384.8
Yichun City,36,1621.02
Yilan County,21,565
Yixing City,57,1320
Yiwu City,78,1046
Yiyang City,66,1354.41
Yinchuan City,81,1480.73
Yingtan City,41,639.26
Yingkou City,88,1500
Yongzhou City,59,1418.18
Yuxi City,46,1245.7
Yueyang City,77,2886.28
Yunfu City,15,710.07
Yunlin County,48,715
Yuncheng City,119,1173.54
Zaozhuang City,148,2030
Zhanjiang City,29,2450
Zhangjiagang City,73,2229.82
Zhangjiajie City,64,447.7
Zhangjiakou City,103,1363.54
Zhangqiu City,103,870.8
Changhua County,38,1356
Zhangzhou City,59,2767.45
Changchun City,106,5530.03
Changsha City,76,8510.13
Changzhi City,91,1137.1
Zhaoyuan City,117,639.84
Shaotong City,27,709.2
Zhaoqing City,34,1970.01
Zhenjiang City,82,3502.48
Zhengzhou City,152,7315.19
Zhongshan City,45,3010.03
Chongqing Municipality,66,15719.72
Zhoushan City,25,1094.7
Zhoukou City,88,2082.38
Zhuhai City,41,2024.98
Zhuzhou City,52,2335.11
Zhuji City,104,1026.78
Zhumadian City,79,1807.09
Ziyang City,86,1270.4
Zibo City,116,4130.2
Zigong City,118,1143.11
Zunyi City,60,2168.34
